"host_is_superhost"	"host_identity_verified"	"bathrooms"	"bedrooms"	"beds"	"Private room"	"Entire home/apt"	"Shared room"	"Real Bed"	"Pull-out Sofa"	"Futon"	"Airbed"	"Couch"	"price"
0	1	1	2	2	0	1	0	1	0	0	0	0	230
1	1	1	1	1	1	0	0	1	0	0	0	0	58
0	1	1	2	2	0	1	0	1	0	0	0	0	120
0	0	1	1	1	0	1	0	1	0	0	0	0	110
0	1	1	1	1	1	0	0	1	0	0	0	0	69
0	1	1	1	1	0	1	0	1	0	0	0	0	135
0	1	1	1	1	0	1	0	1	0	0	0	0	90
0	1	1	1	1	1	0	0	1	0	0	0	0	199
0	1	1	1	1	0	1	0	0	1	0	0	0	90
0	1	1	1	1	0	1	0	1	0	0	0	0	160
0	1	1	1	1	1	0	0	1	0	0	0	0	65
0	1	2	2	3	0	1	0	1	0	0	0	0	399
0	1	1	1	1	0	1	0	1	0	0	0	0	90
0	1	1.5	1	1	1	0	0	1	0	0	0	0	50
0	1	1.5	2	2	0	1	0	1	0	0	0	0	150
0	1	1	1	2	0	1	0	1	0	0	0	0	130
1	1	1	1	2	0	1	0	1	0	0	0	0	120
0	1	1	1	1	0	1	0	1	0	0	0	0	165
0	1	1	1	1	0	1	0	1	0	0	0	0	100
0	0	1	2	1	1	0	0	1	0	0	0	0	80
0	1	1	2	3	0	1	0	1	0	0	0	0	159
0	0	1	1	1	1	0	0	1	0	0	0	0	75
0	0	1	1	1	1	0	0	1	0	0	0	0	80
0	1	1	1	1	0	1	0	1	0	0	0	0	275
0	0	1	2	2	0	1	0	1	0	0	0	0	250
0	0	1	1	1	0	1	0	1	0	0	0	0	175
0	1	1	2	2	0	1	0	1	0	0	0	0	140
0	1	1	1	1	1	0	0	1	0	0	0	0	54
0	1	1	1	1	0	1	0	1	0	0	0	0	75
0	1	1	1	1	0	1	0	1	0	0	0	0	110
0	1	2	2	2	0	1	0	1	0	0	0	0	300
0	1	2	1	1	0	1	0	1	0	0	0	0	331
0	0	1	1	1	1	0	0	1	0	0	0	0	77
0	1	1	1	1	0	1	0	1	0	0	0	0	120
0	1	1	1	1	0	1	0	1	0	0	0	0	179
0	1	1	1	1	0	1	0	1	0	0	0	0	149
0	1	1	2	2	0	1	0	1	0	0	0	0	180
0	1	1	2	3	0	1	0	1	0	0	0	0	260
0	0	1	1	2	1	0	0	1	0	0	0	0	55
0	1	1	1	2	0	1	0	1	0	0	0	0	200
0	0	1	1	1	0	1	0	1	0	0	0	0	125
0	1	1	1	3	0	1	0	1	0	0	0	0	275
0	0	1	1	1	1	0	0	1	0	0	0	0	45
0	0	1	2	2	0	1	0	1	0	0	0	0	130
0	1	1	1	1	0	1	0	1	0	0	0	0	90
0	1	1	1	1	0	1	0	1	0	0	0	0	115
0	1	2	2	2	0	1	0	1	0	0	0	0	200
1	1	1.5	1	1	1	0	0	1	0	0	0	0	64
0	1	1	1	2	1	0	0	1	0	0	0	0	65
0	1	1	1	1	0	1	0	1	0	0	0	0	175
0	1	1	1	1	1	0	0	1	0	0	0	0	85
1	1	1	1	2	0	1	0	1	0	0	0	0	50
1	1	1	2	4	0	1	0	1	0	0	0	0	136
0	1	2	4	4	0	1	0	1	0	0	0	0	400
0	1	1.5	2	2	0	1	0	1	0	0	0	0	180
0	1	1	1	1	1	0	0	1	0	0	0	0	85
0	1	1	1	1	0	0	1	1	0	0	0	0	195
0	1	1	1	1	0	1	0	1	0	0	0	0	165
0	1	1	1	1	1	0	0	1	0	0	0	0	80
0	0	1	1	1	1	0	0	1	0	0	0	0	52
0	1	1	1	1	0	1	0	1	0	0	0	0	160
0	1	1	1	1	0	1	0	1	0	0	0	0	110
0	1	1	1	1	1	0	0	1	0	0	0	0	60
0	1	1	1	2	0	1	0	1	0	0	0	0	200
0	1	1	1	1	0	1	0	1	0	0	0	0	263
0	1	1	1	1	0	1	0	1	0	0	0	0	150
0	0	1	1	1	1	0	0	1	0	0	0	0	350
0	1	1	1	1	1	0	0	1	0	0	0	0	79
0	1	1	1	1	0	1	0	1	0	0	0	0	150
0	1	1	1	1	0	1	0	1	0	0	0	0	150
0	1	1	1	1	0	1	0	1	0	0	0	0	90
0	0	1	1	1	0	1	0	1	0	0	0	0	85
0	0	1	1	2	0	1	0	1	0	0	0	0	87
0	0	1	1	1	0	1	0	1	0	0	0	0	95
0	1	1	1	1	0	1	0	1	0	0	0	0	149
0	0	1	1	1	0	1	0	0	0	0	1	0	60
0	1	1.5	1	1	0	1	0	1	0	0	0	0	285
0	1	1.5	1	1	0	1	0	1	0	0	0	0	150
0	1	1	2	3	0	1	0	1	0	0	0	0	200
0	1	1	1	1	0	1	0	1	0	0	0	0	250
0	0	1	1	1	0	1	0	1	0	0	0	0	220
0	1	1	1	1	1	0	0	1	0	0	0	0	75
0	0	1	1	1	0	1	0	1	0	0	0	0	100
0	0	1	1	1	0	1	0	1	0	0	0	0	200
0	1	1	1	1	0	1	0	1	0	0	0	0	140
0	1	1	1	1	1	0	0	1	0	0	0	0	50
0	1	1	1	1	1	0	0	1	0	0	0	0	70
0	0	1	2	2	0	1	0	1	0	0	0	0	355
0	1	2	1	2	1	0	0	1	0	0	0	0	75
0	1	1	2	3	1	0	0	1	0	0	0	0	88
0	0	1	1	1	0	1	0	1	0	0	0	0	75
0	1	1	1	1	1	0	0	1	0	0	0	0	65
1	1	1	1	2	0	1	0	1	0	0	0	0	125
1	1	1	1	1	0	1	0	1	0	0	0	0	134
0	1	2	1	1	1	0	0	1	0	0	0	0	35
0	1	1	2	3	0	1	0	1	0	0	0	0	249
0	0	1	1	1	0	1	0	1	0	0	0	0	199
0	1	2	1	1	1	0	0	1	0	0	0	0	68
0	0	1	1	1	0	1	0	1	0	0	0	0	150
0	1	1	1	1	1	0	0	1	0	0	0	0	95
0	1	1	1	1	1	0	0	1	0	0	0	0	72
0	1	1	1	1	1	0	0	1	0	0	0	0	69
0	1	1	1	1	1	0	0	1	0	0	0	0	80
0	1	1	1	1	0	1	0	1	0	0	0	0	130
0	1	1	1	1	1	0	0	1	0	0	0	0	70
0	1	1	1	1	1	0	0	1	0	0	0	0	69
0	0	1.5	2	2	0	1	0	1	0	0	0	0	299
0	1	1	1	2	1	0	0	1	0	0	0	0	103
0	1	2	1	2	0	1	0	1	0	0	0	0	425
0	1	1	1	1	1	0	0	1	0	0	0	0	75
1	1	1	2	2	1	0	0	1	0	0	0	0	146
0	0	1	1	1	0	1	0	1	0	0	0	0	120
0	1	1	1	1	1	0	0	1	0	0	0	0	79
0	1	0.5	1	2	1	0	0	1	0	0	0	0	120
1	1	1	1	1	0	1	0	1	0	0	0	0	150
0	1	2	3	3	0	1	0	1	0	0	0	0	350
0	1	1	1	1	1	0	0	1	0	0	0	0	85
0	1	1	1	1	0	1	0	1	0	0	0	0	195
0	0	1.5	1	1	1	0	0	1	0	0	0	0	95
0	0	2	2	3	0	1	0	1	0	0	0	0	50
0	1	2	3	4	0	1	0	1	0	0	0	0	245
0	0	1	1	1	0	1	0	1	0	0	0	0	100
0	0	1	1	1	0	1	0	1	0	0	0	0	140
0	0	1.5	1	1	0	1	0	1	0	0	0	0	106
1	1	1	1	2	0	1	0	1	0	0	0	0	171
1	1	1	1	2	0	1	0	1	0	0	0	0	185
0	0	1	1	1	0	1	0	1	0	0	0	0	120
0	0	1	3	3	0	1	0	1	0	0	0	0	210
0	1	1	1	1	0	1	0	1	0	0	0	0	133
0	1	1	1	1	0	1	0	1	0	0	0	0	259
0	1	1	1	2	1	0	0	1	0	0	0	0	97
0	0	1	1	1	0	1	0	1	0	0	0	0	125
1	1	1	1	1	0	1	0	1	0	0	0	0	125
