"neighbourhood","latitude","longitude","property_type","bathrooms","bedrooms","beds","host_is_superhost","parking","room_type_Entire home/apt","room_type_Private room","room_type_Shared room","Target"
27,40.741,-73.9995699999999,1,1,1,1,0,0,1,0,0,">  $100"
52,40.7277099999999,-73.98172,1,1,1,1,0,0,0,1,0,"$50  AND $100"
18,40.71157,-73.9636,1,1,1,1,0,0,1,0,0,"$50  AND $100"
101,40.86186,-73.92701,1,1,1,1,0,0,0,1,0,"$30  AND $50"
18,40.67138,-73.95577,1,1,1,1,0,0,0,1,0,"$50  AND $100"
101,40.7345599999999,-74.00347,1,1,2,3,0,0,0,1,0,"$50  AND $100"
140,40.7086599999999,-73.91537,21,1,1,1,0,1,0,1,0,"$50  AND $100"
101,40.72177,-73.9961,1,1,1,1,0,1,0,1,0,"$50  AND $100"
80,40.80748,-73.94869,12,1.5,2,2,0,0,1,0,0,">  $100"
80,40.82398,-73.954,1,2,3,3,0,0,1,0,0,">  $100"
3,40.7621599999999,-73.9254199999999,21,2,3,4,0,1,1,0,0,">  $100"
101,40.74092,-74.0003699999999,1,1,1,1,0,0,1,0,0,">  $100"
101,40.7296,-73.98479,1,1,1,1,0,1,1,0,0,">  $100"
101,40.80145,-73.95572,1,1,2,3,0,1,1,0,0,">  $100"
18,40.7189,-73.95725,1,1,1,1,0,0,1,0,0,">  $100"
18,40.66777,-73.9778099999999,1,1,3,6,0,0,1,0,0,">  $100"
3,40.7558299999999,-73.91839,1,1,1,1,0,1,1,0,0,"$50  AND $100"
136,40.75754,-73.93004,1,1,1,1,0,0,0,1,0,"$30  AND $50"
101,40.75982,-73.96521,1,1,1,1,0,0,1,0,0,">  $100"
32,40.68444,-73.95692,1,1,1,1,0,0,1,0,0,">  $100"
3,40.77466,-73.91807,1,1,1,1,0,0,1,0,0,">  $100"
101,40.759,-73.9953,1,1,1,1,0,0,1,0,0,"$50  AND $100"
10,40.69407,-73.94551,1,1,1,1,0,1,0,0,1,">  $100"
64,40.69377,-73.97009,1,1,1,1,0,0,0,1,0,"$50  AND $100"
101,40.7346099999999,-74.00594,1,1,1,3,0,0,0,0,1,">  $100"
64,40.6879799999999,-73.97442,1,1,1,1,0,1,1,0,0,">  $100"
18,40.71188,-73.9608,1,1,1,1,0,0,1,0,0,">  $100"
18,40.70719,-73.95228,1,2,1,1,0,0,0,1,0,"$50  AND $100"
101,40.85082,-73.9378,1,1,1,1,0,0,0,1,0,"$50  AND $100"
101,40.80118,-73.96783,1,1.5,3,5,0,0,1,0,0,">  $100"
44,40.77452,-73.90889,1,1,1,1,0,0,0,1,0,"$50  AND $100"
167,40.7666,-73.95903,1,1,1,1,0,1,1,0,0,">  $100"
22,40.70308,-73.92765,1,1,1,1,0,1,1,0,0,">  $100"
167,40.77043,-73.9515,1,1,2,4,0,0,1,0,0,">  $100"
42,40.67504,-73.95273,1,2,2,2,0,0,1,0,0,">  $100"
32,40.68631,-73.96802,1,1,1,1,0,0,1,0,0,"$50  AND $100"
18,40.71986,-73.95925,1,1,1,1,0,0,1,0,0,">  $100"
79,40.83378,-73.94966,1,1,2,1,0,0,0,1,0,"$50  AND $100"
32,40.69319,-73.96351,1,2,2,3,0,0,1,0,0,">  $100"
80,40.8058599999999,-73.9464199999999,1,1,1,2,0,0,1,0,0,">  $100"
22,40.69764,-73.93084,1,1,2,1,0,0,1,0,0,"$50  AND $100"
18,40.67378,-73.96471,1,1,2,2,0,0,1,0,0,">  $100"
22,40.70738,-73.92213,1,1,1,1,0,0,0,1,0,">  $100"
173,40.85123,-73.93223,1,1,1,2,0,1,0,1,0,"$30  AND $50"
75,40.73184,-73.9580199999999,1,1,1,1,0,0,0,1,0,"$50  AND $100"
77,40.66059,-73.99361,1,1,1,1,1,0,1,0,0,">  $100"
176,40.73574,-74.00056,1,1,1,1,0,0,1,0,0,">  $100"
95,40.66251,-73.95374,1,1,1,1,0,0,1,0,0,">  $100"
18,40.6894099999999,-73.9524699999999,1,1,1,1,0,0,0,1,0,"$50  AND $100"
101,40.71275,-73.98682,1,1,1,1,0,0,0,1,0,"$50  AND $100"
101,40.86585,-73.92693,1,1,1,1,0,1,1,0,0,"$50  AND $100"
101,40.77815,-73.95902,1,1,1,1,0,0,1,0,0,">  $100"
181,40.71731,-73.9562699999999,23,1,2,2,0,0,1,0,0,"$50  AND $100"
101,40.7704,-73.95024,1,1,1,1,0,0,1,0,0,">  $100"
101,40.7123,-73.99946,1,1,1,1,0,0,0,1,0,"$50  AND $100"
58,40.6489,-73.9687199999999,1,1,1,1,0,0,1,0,0,"$50  AND $100"
58,40.6483,-73.9644,1,1,1,1,0,0,0,1,0,"$50  AND $100"
18,40.70933,-73.94141,1,1,1,1,0,0,0,1,0,"$50  AND $100"
101,40.82579,-73.9490699999999,1,1,1,1,0,0,0,1,0,"$50  AND $100"
